hash,msg,parents,is_merge,files,is_bugfix
6959b0368460e2787dcd08cd7db7d11e74e87e06,"Broke up UI into two phases
Support multiple documents with their own state
Fixed cancel and made it exception based",['8d05e1d234b58d995a1f69b50984e5760d4f6531'],False,"['TODO.md', 'diffusion.py', 'document.py', 'settings.py', 'widget.py', 'workflow.py', 'pyproject.toml']",True
c437d8b3694bc969f864c5d65fcbcbf7e74b8fa8,"Added upscale which does not tile the image but used tiled VAE extension
Fixed image bounds clamp at borders
Fixed multi document sharing image collection
Improved error handling",['b0111a8224cd08a50878081a2028ab63d9cbb3cf'],False,"['TODO.md', 'diffusion.py', 'image.py', 'widget.py', 'test_image.py']",True
d628817c5fe8b71b1bf15d526a7741b6910ced90,"Comfy: added settings for checkpoint and sampler
Also improved error handling",['0d4f24bc44037d6a248bc1042d63695379d86214'],False,"['TODO.md', '__init__.py', 'client.py', 'comfyworkflow.py', 'extension.py', 'settings.py', 'connection.py', 'settings.py', 'workflow.py', 'test_workflow.py']",True
510dde32f9c3b176b8dca8b6cb7a43d9f398a212,Comfy: fix batch size not working for inpaint,['0116a432a32929bd32a688dc3d88f9d21ea7fe07'],False,"['image.py', 'widget.py', 'workflow.py', 'test_workflow.py']",True
6fb8116ccf14fd6501e705eca794d51d1193c444,Fixed style when opening settings / switching document,['b4e00bdd6cce5c118861d21e5d6936a0a44cf984'],False,['widget.py'],True
c90bb202ef9f6fc2a1cb5346bd96483d052c9696,Fixed external server mode,['2ac374124b38ead10587ea85a5dbac33781909f7'],False,['settings.py'],True
f82f398aa6afed00927d70b63bf7c82f6d0eb799,Handle server errors reported via websocket,['ccbec1c3cfcc9f0d7391854996ebfbbb7db50289'],False,"['client.py', 'model.py']",True
338822f06622b050b6261a5a03edb12c8b7ee045,Don't pass mask to IP adapter for now (sometimes causes errors),['a9c905148d526fa425587f0811b237b35e890609'],False,"['comfyworkflow.py', 'workflow.py']",True
67d36ca402884f9914ac4225fe56345ec1bd4adc,"Fixed issue when there are error/cancelled jobs
Don't merge history if bounds mismatch",['338822f06622b050b6261a5a03edb12c8b7ee045'],False,['widget.py'],True
70895d4d339e759f14eeaf967ac327d19b8c7303,Fixes for linux and some additional progress reporting,['050ea562fbd87ee0227fa44e10d31e4d1e600c95'],False,"['eventloop.py', 'extension.py', 'server.py', 'server.py', 'theme.py']",True
a35be6a0fbf09b27b415f8541e46b15d6af2827f,Fixed checkpoints not updating after connecting,['0da9df8659a4b7caa2b2016a0b54e2561d4ff540'],False,"['cinematic-photo.json', 'settings.py']",True
663af57cab10e5a4a2e54cc1d6aca7231264a8d5,Fixed settings when there are no open documents,['59caa4c95845a0353e8a9a413cc8fb1014390f15'],False,['settings.py'],True
78b74b3a06ee535369e8a9530796a589cbe74aae,Fixed some more multiple-of-8 issues,['06ab2db0c5d787356cd115b11fb12210b65df5b0'],False,"['image.py', 'workflow.py', 'test_image.py', 'test_workflow.py']",True
2564f7c42380e18675fe1daafe1e17e884581d5a,"Improved inpainting masks, area and upsacling:
* Mask grow and feather now depends on mask size, not image size
* Image is now padded with additional context, instead of using the entire image
* Read only relevant image region from Krita, instead of reading all and crop afterwards
* For larger upscaling factors (>1.5x) use upscaling model
* -> Upscaling model NKMD Superscale now required download
* -> Fixes block artifacts and results in sharper images
* Fixed connection settings not being updated
* Fixed connection error when nodes are missing
* Improved performance of mask -> image conversion",['78b74b3a06ee535369e8a9530796a589cbe74aae'],False,"['README.md', 'client.py', 'comfyworkflow.py', 'document.py', 'image.py', 'server.py', 'settings.py', 'model.py', 'settings.py', 'workflow.py', 'lake_region.png', 'lake_region_mask.png', 'test_image.py', 'test_workflow.py']",True
037a15f25f125fef6b07f0405bb31f692ee49c2c,"Added icons for control modes
Better error handling when optional control-net isn't found",['74dff93b77522e2ef00c0005467885ed13018fdd'],False,"['README.md', '__init__.py', 'client.py', 'control-add-dark.svg', 'control-add-light.svg', 'control-lineart-dark.svg', 'control-lineart-light.svg', 'control-scribble-dark.svg', 'control-scribble-light.svg', 'remove-dark.svg', 'remove-light.svg', 'server.py', 'widget.py']",True
2ca3cf7b84a973d83f680780c8d7d34cac921250,"Pass creationflags to windows process to avoid console windows from popping up
Fixed cpu mode not being initialized on restart",['da24e4bf34925298c23a1e8474667dc2b7c31a7b'],False,['server.py'],True
8564c83408f27618a2a69924f61c346c480403a2,"Use Python venv on Linux #2
* venv required on eg. Debian which does not allow installing into system python
* venv also just generally a good idea to avoid conflicts
* better error message if python/pip cannot be found",['12f446bf8f849b642f6dfe46e3530981874a962c'],False,"['__init__.py', 'server.py', 'test_server.py']",True
5e3c15080df1bd6bcb5a6f1d36be78cd2e58d501,Improved error for missing clip vision #1,['8564c83408f27618a2a69924f61c346c480403a2'],False,['settings.py'],True
e379415336a863b90ed2fd431520d0db3a7f5653,"Fixed some locale / encoding issues #5
- start ComfyUI in utf8 mode to to get utf8 output on process pipes
- use default locale for installation process output
- fixed pip hang when it produces gigantic error message (pipe block)",['222caaf2f20c1dce0379356cfb6389ad395da679'],False,['server.py'],True
f5e7d596e479b0d9175d1a31138e56139dd2adc4,Added setting for random seed (for debug purpose),['67f7873ab2221311d440589e0137075b162a25d0'],False,"['comfyworkflow.py', 'server.py', 'settings.py', 'settings.py', 'workflow.py']",True
5df98928dea49804da7c01f3c51951c5d4ba31d6,"Fixed #11
'QNetworkReply' has no attribute 'HttpStatusCodeAttribute'",['9ab9edcdc29a54bbdfaa2782ee54d70011a4ebdb'],False,['network.py'],True
556ed4b61a1dcbbb9105052abde5a085fa30bc9e,"Docker: use venv, extra_model_paths, various fixes",['ec3c7c0fd904c9feb1f33fdb747f07ffb974919b'],False,"['README.md', 'docker.py', 'Dockerfile', 'extra_model_paths.yaml', 'README.md', 'pre_start.sh']",True
97fde846af68cc023653a834e37848653d9eaabb,"Switch to IPAdapter_plus extension
* Supports CPU & DirectML, fix #16",['0480624e3c115ba8b5fbfea811558b2084fc484f'],False,"['README.md', 'client.py', 'comfyworkflow.py', 'resources.py', 'workflow.py', 'Dockerfile']",True
fef8edf71e44ee03d0866516f27ee4afffa0e9ae,"Improved handling of sporadic websocket disconnect
* Fixed error message when websocket is closed by server
* Use websockets built-in reconnect behavior
* Fixed reconnect not working after losing connection",['37017540d247413181e3b2e5443804e46150e99a'],False,"['client.py', 'connection.py', 'model.py', 'test_client.py']",True
94dc23ea4fe6db2e7cc884ce9f4fefdcff99b9a3,Try to fix xformers install issue #17,['13c5e9ebdd72636b4de2fff585c8af10945c9d66'],False,['server.py'],True
4cadd46e8937f8e6664e40a92ba84d0b11d3b8e9,Fixed tests,['94dc23ea4fe6db2e7cc884ce9f4fefdcff99b9a3'],False,"['__init__.py', 'test_server.py', 'test_workflow.py']",True
960344ca9443f3906cd98813fe5c1f670541b2b3,"Added image reference as new control mode
uses clip-vision/ip-adapter to influence images

Fixed history not being restored when switching image tabs",['442234a7e0ca03df568d4afecc58eefb71ecd7b7'],False,"['document.py', 'control-image-dark.svg', 'control-image-light.svg', 'model.py', 'widget.py', 'workflow.py', 'flowers.png', 'flowers_mask.png', 'pegonia.png', 'test_workflow.py']",True
9c084660e69e968050a6e2afe741c7764a06c1c0,Fix platform check #13,['454f2e4a55b315e1a2dca38167b864fb5f4e069f'],False,['util.py'],True
52c2cb57d3b4d2745cd8086e7eb2384aa6e291ea,Fixed upscaling to non-multiple-8 resolutions,['65532f7b19d595e0fcdd83024eea3701a0503126'],False,['workflow.py'],True
60b3beef868f9acacebd914be61878e3ba76f2f9,Fixed initial install & use of upscaler,['242c7f92a24cb531674a0e94b874cdef963af33f'],False,"['resources.py', 'model.py']",True
fb75911592db93def7a9c4b53cbfe04fad4f6e7f,"Fixed creating/deleting styles
- asserted if upscale widget had never been used",['c81184b728de8e5e6a09d64b40106f73bea45ebf'],False,['widget.py'],True
af905a870d7b3d9000fe41bbe42899dd71db1059,Fixed download errors being silently ignored,['bb7bb2c41faa685615179ba44ebc341b4e8a931c'],False,['network.py'],True
baedfe2f613cdf2daab0d8ae3177d83178eb8f03,"Apply image crop for inpaint to selection area

Area conditioning bounds were incorrect for small areas that received a sub-region of the image as context.
Likely cause for #36

Also add minimum size (64) for areas since smaller values trigger a validation error",['a18e328cbc664f15bf6c13d20fe99e3bbad6a3b2'],False,"['image.py', 'model.py', 'workflow.py', 'lake_1536x1024_mask_bottom_right.png', 'test_image.py', 'test_workflow.py']",True
49e59e4758b5f337bfa230ade5dfad1198a94358,Fixed server UI status updates,['32cd441fbedfa16e0310e74d94d37ddf2eae91da'],False,"['server.py', 'file_server.py']",True
802895e5ae7cbf80ac34085fd1e1ba69275d0797,Fixed initial workload selection if only XL is installed,['874f7ae2c0ad3290927d19404cccd93c28d1a35d'],False,['server.py'],True
50f915e01cd8e4ce93b7f4df3abba88805c5cd5c,Set fixed versions for server packages,['e724b440dda098a1dc82826830fa93811033eebb'],False,"['resources.py', 'server.py']",True
0cfa900338f1ee7a8a066d6b5dfad25324ab3960,Fixed change style in upscale UI having no effect,['c5f3f9a416b58485abb78d67cb58e91e1572daf0'],False,['widget.py'],True
53f6fdaf983f7af810e781aef3e195a7232883dd,Fixed control layer not respecting style change,['0cfa900338f1ee7a8a066d6b5dfad25324ab3960'],False,['widget.py'],True
4b9659607edaa5989bcb38742abb4060a8f9d34b,"Scale live preview display
Copy live results as layer to image
Fix toggle action to include live workspace",['88fbeea5862dc607d6824b0478b9b8f9d414001c'],False,"['document.py', 'image.py', 'actions.py', 'model.py', 'widget.py']",True
444dc49a9dc5ea321bd5d6fb9a796d97a0f5c06c,"Icons for live mode
Fixed error handling",['1efe4175927c16c21be0917bed31d08321536cec'],False,"['copy-image-dark.svg', 'copy-image-light.svg', 'pause-dark.svg', 'pause-light.svg', 'play-dark.svg', 'play-light.svg', 'random-dark.svg', 'random-light.svg', 'workspace-live-dark.svg', 'workspace-live-light.svg', 'model.py', 'widget.py']",True
689ae8a570055977f8257e91f19f76fa9ee1f91f,"Fix welcome messages, initial style",['a1b633d71ed1426312cb70bfe9b09f92124659ff'],False,"['server.py', 'model.py', 'widget.py']",True
1ab14293674175df21aeb2d5fb2ad2aedff960e0,Fix typo in extra_model_paths for docker,['355793e81876dc27b635a8fb5e38acda42444f9c'],False,['extra_model_paths.yaml'],True
f6d0dfce1b4526f4f2cb3ac9b1e7ec6f0da19c5f,Detect safetensors version of clip vision model (fix #54),['fa38c7ab460f32811e0084dd895c934ed1adf71c'],False,"['client.py', 'comfy-requirements.md']",True
00ac67e2c4b0c3f9d911619b67319ca535d3e23c,Fix preview toggle & apply #52,['f6d0dfce1b4526f4f2cb3ac9b1e7ec6f0da19c5f'],False,['document.py'],True
8d0102a5bf70385d0f3f08d061c1bbcd82360da5,"Fix issue with text disappearing in 1-line widget #59
can't seem to disable scroll in text edit, so replacing with line edit",['00ac67e2c4b0c3f9d911619b67319ca535d3e23c'],False,['widget.py'],True
eb608e5e0d0a5ed02b77a5cfb5cbead72808de10,Fix plugin version / server version mixup #65,['1600c9f8d6bfe67e1653e78fd6768c92c8698514'],False,['server.py'],True
35573c04bec21d2bc6bf70a070fdcc45acc661b6,Fix issue with long paths on windows #87,['c4b4c8fa4925cd40b18e1913caa46b3fbd126026'],False,"['server.py', 'util.py']",True
e745c70fc8e3df1dd1b4a8ac129684c55bbfc19f,Fix not being able to install missing nodes,['4e40e627c080335f795482c921a47e5ce58275ce'],False,['server.py'],True
1da1563e3263bddc5ac661559dec4fb2a65d9223,"Make install detection and actual install consistent #80
- Report an error directly when trying to install something but the target folder is already there and not empty (previously would ignore and move on)",['e745c70fc8e3df1dd1b4a8ac129684c55bbfc19f'],False,"['resources.py', 'server.py']",True
bf0233eb574223a1847cd6f2f662809f1f6a06eb,Add error message and troubleshooting section for common issue,['821b4325352f275341e28ac8be4caaa484aa5a55'],False,"['README.md', '__init__.py']",True
169fb6d7a3ca7254dbe94469b43a0a192da3e8bf,corrects the link to directly point to the download source,['bd6e4f1099079b76fff8227e54f3ca84538e8a86'],False,['resources.py'],True
09e83ca0606d57e6e880828dce56c060acc4a488,fix: resolve bug with icon color not adapting to themes,['169fb6d7a3ca7254dbe94469b43a0a192da3e8bf'],False,"['control-stencil-dark.svg', 'control-stencil-light.svg']",True
